ID,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit
ABC994194, ,2/1/2013, , , ,Verified,24,ZIP1,NM,N,N,387,0,0,0,0,582
ABC994194, ,3/1/2013, , , ,Verified,24,ZIP1,NM,N,N,0,0,0,0,0,734
ABC994198, ,1/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,779,400
ABC994198, ,2/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,779,734
ABC994198, ,3/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,779,734
ABC994199, ,1/1/2013, , , ,Verified,28,ZIP1,NM,N,N,138,0,0,0,957.48,398
ABC994199, ,2/1/2013, , , ,Verified,28,ZIP1,NM,N,N,138,0,0,0,957.48,398
ABC994199, ,3/1/2013, , , ,Verified,28,ZIP1,NM,N,N,138,0,0,0,957.48,398
ABC994201, ,2/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,0,400
ABC994201, ,3/1/2013, , , ,Verified,25,ZIP1,NM,N,N,0,0,0,0,0,400
ABC994239, ,1/1/2013, , , ,Unverified,24,ZIP5,NM,N,N,0,0,0,0,0,400
ABC994246, ,1/1/2013, , , ,Unverified,25,ZIP5,,N,Y,941,0,0,0,1104,568
ABC994255,916,1/1/2013, , ,916,Unverified,24,ZIP5,NM,N,N,1036,0,0,0,1204,510
ABC994255,916,2/1/2013, , ,916,Unverified,24,ZIP5,NM,N,N,1036,0,0,0,1204,510
ABC994255,916,3/1/2013, , ,916,Unverified,24,ZIP5,NM,N,N,1036,0,0,0,1204,510
ABC994261, ,1/1/2013, , , ,Verified,24,ZIP5,NM,N,N,349,0,0,0,0,922
ABC994261, ,2/1/2013, , , ,Verified,24,ZIP5,NM,N,N,349,0,0,0,0,922
ABC994261, ,3/1/2013, , , ,Verified,24,ZIP5,NM,N,N,0,0,0,0,604,734
ABC994276, ,1/1/2013, , , ,Verified,24,ZIP2,,N,,0,0,0,0,0,400
ABC994276, ,2/1/2013, , , ,Verified,24,ZIP2,,N,,0,0,0,0,0,400
ABC994276, ,3/1/2013, , , ,Verified,24,ZIP2,,N,,0,0,0,0,0,400
ABC994278, ,1/1/2013, , , ,Verified,25,ZIP3,NM,N,N,0,0,0,0,0,734
