ID,,Benefit_Amt
ABC994261,3/1/2013,490
ABC994276,1/1/2013,323
ABC994276,2/1/2013,323
ABC994276,3/1/2013,323
ABC994278,1/1/2013,0
ABC994289,1/1/2013,143
ABC994296,1/1/2013,352
ABC994296,2/1/2013,352
ABC994296,3/1/2013,352
ABC994307,3/1/2013,323
ABC994328,1/1/2013,757
ABC994328,2/1/2013,757
ABC994328,3/1/2013,775
ABC994372,1/1/2013,252
ABC994372,2/1/2013,252
ABC994372,3/1/2013,252
ABC994375,1/1/2013,216
ABC994375,2/1/2013,216
ABC994375,3/1/2013,216
ABC994383,1/1/2013,259
ABC994383,2/1/2013,259
ABC994383,3/1/2013,259
ABC994411,1/1/2013,515
ABC994411,2/1/2013,515
ABC994411,3/1/2013,515
ABC994426,1/1/2013,233
ABC994426,2/1/2013,233
ABC994426,3/1/2013,233
ABC994480,1/1/2013,139
ABC994480,2/1/2013,139
ABC994480,3/1/2013,139
ABC994526,2/1/2013,649
ABC994526,3/1/2013,649
ABC994539,1/1/2013,1184
ABC994539,2/1/2013,1524
ABC994539,3/1/2013,1524
ABC994587,1/1/2013,267
ABC994587,2/1/2013,261
ABC994587,3/1/2013,261
ABC994601,1/1/2013,0
ABC994601,2/1/2013,0
ABC994601,3/1/2013,0
ABC994622,1/1/2013,323
ABC994622,2/1/2013,323
ABC994622,3/1/2013,323
ABC994679,1/1/2013,376
ABC994679,2/1/2013,376
ABC994679,3/1/2013,376
ABC994688,1/1/2013,323
ABC994688,2/1/2013,323
ABC994688,3/1/2013,323
ABC994720,1/1/2013,305
ABC994720,2/1/2013,305
ABC994720,3/1/2013,305
ABC994736,1/1/2013,231
ABC994736,2/1/2013,231
ABC994736,3/1/2013,231
ABC994754,1/1/2013,582
ABC994754,2/1/2013,582
ABC994754,3/1/2013,582
ABC994757,1/1/2013,758
ABC994757,2/1/2013,758
ABC994757,3/1/2013,668
ABC994799,1/1/2013,323
ABC994799,2/1/2013,323
ABC994799,3/1/2013,323
ABC994811,1/1/2013,323
ABC994811,2/1/2013,323
ABC994811,3/1/2013,323
ABC994874,2/1/2013,154
ABC994874,3/1/2013,154
ABC994877,1/1/2013,404
ABC994877,2/1/2013,404
ABC994877,3/1/2013,404
ABC994898,2/1/2013,251
ABC994898,3/1/2013,251
ABC994903,1/1/2013,323
ABC994903,2/1/2013,323
ABC994903,3/1/2013,323
ABC994965,2/1/2013,323
ABC994965,3/1/2013,323
ABC994995,1/1/2013,158
ABC994995,2/1/2013,154
ABC994995,3/1/2013,154
ABC995001,1/1/2013,297
ABC995001,2/1/2013,297
ABC995001,3/1/2013,297
ABC995009,1/1/2013,323
ABC995009,2/1/2013,323
ABC995009,3/1/2013,323
ABC995044,1/1/2013,306
ABC995044,2/1/2013,306
ABC995044,3/1/2013,306
ABC995070,1/1/2013,649
ABC995070,2/1/2013,649
ABC995089,1/1/2013,163
ABC995089,2/1/2013,163
ABC995089,3/1/2013,163
ABC995096,1/1/2013,345
ABC995096,2/1/2013,345
ABC995096,3/1/2013,345
ABC995123,1/1/2013,473
ABC995123,2/1/2013,443
ABC995123,3/1/2013,443
ABC995150,1/1/2013,323
ABC995150,2/1/2013,323
ABC995150,3/1/2013,323
ABC995171,1/1/2013,0
ABC995204,1/1/2013,649
ABC995204,2/1/2013,649
ABC995204,3/1/2013,649
ABC995307,1/1/2013,266
ABC995307,2/1/2013,260
ABC995307,3/1/2013,260
ABC995363,2/1/2013,139
ABC995363,3/1/2013,139
ABC995365,1/1/2013,323
ABC995365,2/1/2013,323
ABC995365,3/1/2013,323
ABC995401,2/1/2013,0
ABC995401,3/1/2013,0
ABC995403,1/1/2013,490
ABC995403,2/1/2013,490
ABC995403,3/1/2013,490
ABC995405,1/1/2013,323
ABC995405,2/1/2013,323
ABC995446,1/1/2013,0
ABC995446,2/1/2013,0
ABC995446,3/1/2013,0
ABC995465,1/1/2013,301
ABC995465,2/1/2013,301
ABC995465,3/1/2013,301
ABC995493,1/1/2013,791
ABC995493,2/1/2013,791
ABC995493,3/1/2013,791
ABC995496,1/1/2013,166
ABC995496,2/1/2013,142
ABC995496,3/1/2013,167
ABC995498,1/1/2013,490
ABC995498,2/1/2013,490
ABC995498,3/1/2013,490
ABC995569,1/1/2013,276
ABC995569,2/1/2013,276
ABC995569,3/1/2013,276
ABC995656,1/1/2013,0
ABC995656,2/1/2013,0
ABC995656,3/1/2013,0
ABC995662,1/1/2013,224
ABC995662,2/1/2013,224
ABC995669,1/1/2013,315
ABC995669,2/1/2013,315
ABC995669,3/1/2013,315
ABC995673,1/1/2013,904
ABC995673,2/1/2013,904
ABC995673,3/1/2013,904
ABC995724,1/1/2013,649
ABC995724,2/1/2013,649
ABC995724,3/1/2013,649
ABC995754,1/1/2013,242
ABC995754,2/1/2013,242
ABC995754,3/1/2013,236
ABC995761,1/1/2013,229
ABC995761,2/1/2013,229
ABC995761,3/1/2013,224
ABC995792,1/1/2013,259
ABC995792,2/1/2013,252
ABC995792,3/1/2013,252
ABC995809,2/1/2013,0
ABC995809,3/1/2013,0
ABC995810,2/1/2013,323
ABC995810,3/1/2013,323
ABC995819,1/1/2013,606
ABC995819,2/1/2013,606
ABC995819,3/1/2013,606
ABC995899,1/1/2013,242
ABC995899,2/1/2013,232
ABC995899,3/1/2013,232
ABC995910,1/1/2013,0
ABC995976,2/1/2013,323
ABC995976,3/1/2013,323
ABC996013,1/1/2013,791
ABC996013,2/1/2013,791
ABC996013,3/1/2013,791
ABC996049,1/1/2013,257
ABC996049,2/1/2013,257
ABC996049,3/1/2013,257
ABC996075,1/1/2013,323
ABC996075,2/1/2013,323
ABC996075,3/1/2013,323
ABC996079,1/1/2013,152
ABC996079,2/1/2013,152
ABC996079,3/1/2013,148
ABC996091,1/1/2013,506
ABC996091,2/1/2013,530
ABC996091,3/1/2013,650
ABC996094,1/1/2013,291
ABC996094,2/1/2013,285
ABC996094,3/1/2013,285
ABC996116,1/1/2013,424
ABC996116,2/1/2013,484
ABC996116,3/1/2013,484
ABC996128,1/1/2013,323
ABC996128,2/1/2013,323
ABC996128,3/1/2013,323
ABC996146,1/1/2013,269
ABC996146,2/1/2013,264
ABC996146,3/1/2013,264
ABC996152,1/1/2013,569
ABC996152,2/1/2013,535
ABC996152,3/1/2013,535
ABC996155,1/1/2013,206
ABC996155,2/1/2013,206
ABC996155,3/1/2013,206
ABC996172,2/1/2013,235
ABC996172,3/1/2013,235
ABC996188,1/1/2013,323
ABC996188,2/1/2013,323
ABC996188,3/1/2013,323
ABC996207,1/1/2013,241
ABC996207,2/1/2013,241
ABC996207,3/1/2013,236
ABC996276,1/1/2013,139
ABC996276,2/1/2013,0
ABC996276,3/1/2013,0
ABC996344,1/1/2013,227
ABC996344,2/1/2013,227
ABC996344,3/1/2013,139
ABC996348,1/1/2013,237
ABC996348,2/1/2013,237
ABC996348,3/1/2013,237
ABC996350,1/1/2013,149
ABC996350,2/1/2013,149
ABC996350,3/1/2013,149
ABC996356,1/1/2013,195
ABC996356,2/1/2013,195
ABC996356,3/1/2013,195
