ID,Benefit_Amt,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit,Number_Adults,Number_Children
ABC993713,363, ,2/1/2013, , , ,Verified,26,ZIP5,NM,N,N,0,0,0,0,0,0,2,1
ABC993713,0, ,3/1/2013, , , ,Verified,26,ZIP5,NM,N,N,0,0,0,0,0,0,2,1
ABC993724,0, ,1/1/2013, , , ,Unverified,27,ZIP2,NM,N,N,0,0,0,0,0,0,1,0
ABC993724,0, ,2/1/2013, , , ,Unverified,27,ZIP2,NM,N,N,0,0,0,0,0,0,1,0
ABC993724,0, ,3/1/2013, , , ,Unverified,27,ZIP2,NM,N,N,0,0,0,0,0,0,1,0
ABC993727,323, ,1/1/2013, , , ,Unverified,27,ZIP2,NM,N,N,0,0,0,0,0,0,1,0
ABC993727,323, ,2/1/2013, , , ,Unverified,27,ZIP2,NM,N,N,0,0,0,0,0,0,1,0
ABC993747,0, ,1/1/2013, , , ,Unverified,25,ZIP1,NM,N,N,0,0,0,0,0,0,1,2
ABC993747,0, ,2/1/2013, , , ,Unverified,25,ZIP1,NM,N,N,0,0,0,0,0,0,1,2
ABC993757,542, ,1/1/2013, , , ,Verified,24,ZIP1,NM,N,Y,490,0,0,0,0,838,1,2
ABC993757,649, ,2/1/2013, , , ,Verified,24,ZIP1,NM,N,Y,0,0,0,0,0,1052,1,2
ABC993757,649, ,3/1/2013, , , ,Verified,24,ZIP1,NM,N,Y,0,0,0,0,0,1052,1,2
ABC993819,323, ,2/1/2013, , , ,Unverified,25,ZIP3,,N,N,0,0,0,0,0,400,1,0
ABC993819,323, ,3/1/2013, , , ,Unverified,25,ZIP3,,N,N,0,0,0,0,0,400,1,0
ABC993821,490, ,1/1/2013, , , ,Verified,27,ZIP2,NM,N,N,0,0,0,0,644,734,1,1
ABC993821,490, ,2/1/2013, , , ,Verified,27,ZIP2,NM,N,N,0,0,0,0,644,734,1,1
ABC993821,490, ,3/1/2013, , , ,Verified,27,ZIP2,NM,N,N,0,0,0,0,644,734,1,1
ABC993839,323, ,1/1/2013, , , ,Verified,24,ZIP3,NM,N,N,0,0,0,0,1017,400,1,0
ABC993839,323, ,2/1/2013, , , ,Verified,24,ZIP3,NM,N,N,0,0,0,0,1017,400,1,0
ABC993839,323, ,3/1/2013, , , ,Verified,24,ZIP3,NM,N,N,0,0,0,0,1017,400,1,0
ABC993916,323, ,2/1/2013, , , ,Unverified,26,ZIP5,NM,N,,0,0,0,0,0,400,1,0
ABC993916,323, ,3/1/2013, , , ,Unverified,26,ZIP5,NM,N,,0,0,0,0,0,400,1,0
ABC993929,791, ,1/1/2013, , , ,Verified,25,ZIP5,NM,N,N,0,0,0,0,1238.43,1336,3,1
