"","ID","Payment_Date","Overpayment_Amount","Dollar_Error1","Dollar_Error2","Dollar_Error3","Citizenship","Age_in_yrs","ZipCodes","Marital_Status","Previous_Felony","Moved_from_out_of_state_12_mths","Income","Dependent_Care_Amount","Medical_Expense_Amount","Child_Support_Amount","Rent_Amount","Monthly_Benefit","Benefit_Amt","No_Adults","No_Children"
"157","ABC990162","1/1/2013",NA,NA,NA,NA,"Verified",53,"ZIP5","DI","N","N",1017,0,0,0,604,32,139,2,0
"158","ABC990162","2/1/2013",NA,NA,NA,NA,"Verified",53,"ZIP5","DI","N","N",616,0,436.1,0,604,110,178,2,0
"159","ABC990162","3/1/2013",NA,NA,NA,NA,"Verified",53,"ZIP5","DI","N","N",616,0,436.1,0,604,110,178,2,0
"160","ABC990204","1/1/2013",NA,NA,NA,NA,"Unverified",62,"ZIP5","NM","N","N",0,0,0,0,0,0,323,1,0
"161","ABC990204","2/1/2013",NA,NA,NA,NA,"Unverified",62,"ZIP5","NM","N","N",0,0,0,0,0,0,323,1,0
"162","ABC990204","3/1/2013",NA,NA,NA,NA,"Unverified",62,"ZIP5","NM","N","N",0,0,0,0,0,0,323,1,0
"163","ABC990316","2/1/2013",NA,NA,NA,NA,"Verified",56,"ZIP3","NM","N","N",398,0,0,0,736,242,244,1,0
"164","ABC990316","3/1/2013",NA,NA,NA,NA,"Verified",56,"ZIP3","NM","N","N",398,0,0,0,736,242,244,1,0
"165","ABC990323","1/1/2013",NA,NA,NA,NA,"Verified",58,"ZIP1","NM","N","N",696,0,0,0,373,62,154,1,0
"166","ABC990323","2/1/2013",NA,NA,NA,NA,"Verified",58,"ZIP1","NM","N","N",696,0,0,0,373,62,154,1,0
"167","ABC990323","3/1/2013",NA,NA,NA,NA,"Verified",58,"ZIP1","NM","N","N",696,0,0,0,373,62,154,1,0
"168","ABC990369","1/1/2013",NA,NA,NA,NA,"Verified",61,"ZIP2","NM","N","N",0,0,0,0,0,400,323,1,0
"169","ABC990369","2/1/2013",NA,NA,NA,NA,"Verified",61,"ZIP2","NM","N","N",0,0,0,0,0,400,323,1,0
"170","ABC990369","3/1/2013",NA,NA,NA,NA,"Verified",61,"ZIP2","NM","N","N",509,0,0,0,604,174,210,1,0
"171","ABC990385","1/1/2013",NA,NA,NA,NA,"Verified",67,"ZIP2","NM","N","N",0,0,0,0,0,0,163,1,0
"172","ABC990385","2/1/2013",NA,NA,NA,NA,"Verified",67,"ZIP2","NM","N","N",0,0,0,0,0,0,163,1,0
"173","ABC990385","3/1/2013",NA,NA,NA,NA,"Verified",67,"ZIP2","NM","N","N",0,0,0,0,0,0,163,1,0
"174","ABC990398","1/1/2013",NA,NA,NA,NA,"Verified",80,"ZIP5","DI","N","N",310,0,0,0,815.37,294,270,1,0
"175","ABC990398","2/1/2013",NA,NA,NA,NA,"Verified",80,"ZIP5","DI","N","N",328,0,0,0,815.37,284,265,1,0
"176","ABC990398","3/1/2013",NA,NA,NA,NA,"Verified",80,"ZIP5","DI","N","N",328,0,0,0,815.37,284,265,1,0
"177","ABC990415","2/1/2013",NA,NA,NA,NA,"Verified",62,"ZIP2","NM","N","N",0,0,0,0,1094,734,490,2,0
"178","ABC990415","3/1/2013",NA,NA,NA,NA,"Verified",62,"ZIP2","NM","N","N",0,0,0,0,1094,734,490,2,0
"179","ABC990427","1/1/2013",NA,NA,NA,NA,"Verified",73,"ZIP1","DI","N","N",794,0,0,0,453,32,139,1,0
"180","ABC990427","2/1/2013",NA,NA,NA,NA,"Verified",73,"ZIP1","DI","N","N",280,0,297,0,788,312,279,1,0
"181","ABC990427","3/1/2013",NA,NA,NA,NA,"Verified",73,"ZIP1","DI","N","N",257,0,311.99,0,788,326,286,1,0
"182","ABC990429","1/1/2013",NA,NA,NA,NA,"Verified",71,"ZIP2","NM","N","N",0,0,0,0,0,0,152,1,0
"183","ABC990429","2/1/2013",NA,NA,NA,NA,"Verified",71,"ZIP2","NM","N","N",0,0,0,0,0,0,152,1,0
"184","ABC990429","3/1/2013",NA,NA,NA,NA,"Verified",71,"ZIP2","NM","N","N",0,0,0,0,0,0,152,1,0
"185","ABC990443","1/1/2013",NA,NA,NA,NA,"Verified",58,"ZIP5","WI","N","N",0,0,0,0,1460.44,1052,649,1,2
"186","ABC990443","2/1/2013",NA,NA,NA,NA,"Verified",58,"ZIP5","WI","N","N",0,0,0,0,1460.44,1052,649,1,2
"187","ABC990443","3/1/2013",NA,NA,NA,NA,"Verified",58,"ZIP5","WI","N","N",0,0,0,0,1460.44,1052,649,1,2
"188","ABC990446","1/1/2013",NA,NA,NA,NA,"Unverified",47,"ZIP5","WI","N","N",0,0,0,0,0,0,323,1,0
"189","ABC990446","2/1/2013",NA,NA,NA,NA,"Unverified",47,"ZIP5","WI","N","N",0,0,0,0,0,0,323,1,0
