ID,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit,Benefit_Amt,KEY,No_Adults,No_Children
ABC989496,233,1/1/2013,233, , ,Verified,74.0,ZIP5,NM,N,N,822,0,0.0,0.0,641.72,32,0,ABC989496,1,0
ABC989496,233,2/1/2013,233, , ,Verified,74.0,ZIP5,NM,N,N,822,0,0.0,0.0,641.72,32,0,ABC989496,1,0
ABC989496,233,3/1/2013,233, , ,Verified,74.0,ZIP5,NM,N,N,822,0,0.0,0.0,641.72,32,0,ABC989496,1,0
ABC989517, ,1/1/2013, , , ,Verified,65.0,ZIP3,MA,N,N,351,0,0.0,0.0,744.0,270,258,ABC989517,1,0
ABC989517, ,2/1/2013, , , ,Verified,65.0,ZIP3,MA,N,N,369,0,0.0,0.0,744.0,258,252,ABC989517,1,0
ABC989517, ,3/1/2013, , , ,Verified,65.0,ZIP3,MA,N,N,230,0,0.0,0.0,883.0,342,294,ABC989517,1,0
ABC989542, ,1/1/2013, , , ,Verified,68.0,ZIP3,DI,N,N,293,0,0.0,0.0,1211.52,304,275,ABC989542,1,0
ABC989542, ,2/1/2013, , , ,Verified,68.0,ZIP3,DI,N,N,293,0,0.0,0.0,1211.52,304,275,ABC989542,1,0
ABC989542, ,3/1/2013, , , ,Verified,68.0,ZIP3,DI,N,N,293,0,0.0,0.0,1211.52,304,275,ABC989542,1,0
ABC989546, ,1/1/2013, , , ,Verified,61.0,ZIP1,WI,N,N,0,0,0.0,0.0,1154.0,734,490,ABC989546,2,10
ABC989546, ,2/1/2013, , , ,Verified,61.0,ZIP1,WI,N,N,0,0,0.0,0.0,1154.0,734,490,ABC989546,2,10
ABC989546, ,3/1/2013, , , ,Verified,61.0,ZIP1,WI,N,N,0,0,0.0,0.0,1154.0,734,490,ABC989546,2,10
ABC989579, ,1/1/2013, , , ,Verified,63.0,ZIP4,DI,N,N,538,0,0.0,0.0,879.0,158,219,ABC989579,1,0
ABC989579, ,2/1/2013, , , ,Verified,63.0,ZIP4,DI,N,N,538,0,0.0,0.0,879.0,158,219,ABC989579,1,0
ABC989579, ,3/1/2013, , , ,Verified,63.0,ZIP4,DI,N,N,612,0,0.0,0.0,879.0,112,179,ABC989579,1,0
ABC989597, ,1/1/2013, , , ,Verified,59.0,ZIP5,MA,N,N,0,0,0.0,0.0,0.0,0,0,ABC989597,2,0
ABC989597, ,2/1/2013, , , ,Verified,59.0,ZIP5,MA,N,N,0,0,0.0,0.0,0.0,0,0,ABC989597,2,0
ABC989597, ,3/1/2013, , , ,Verified,59.0,ZIP5,MA,N,N,0,0,0.0,0.0,0.0,0,0,ABC989597,2,0
ABC989606, ,1/1/2013, , , ,Verified,35.0,ZIP2,NM,N,N,0,0,0.0,0.0,0.0,0,554,ABC989606,1,2
ABC989606, ,2/1/2013, , , ,Verified,35.0,ZIP2,NM,N,N,0,0,0.0,0.0,0.0,0,554,ABC989606,1,2
ABC989606, ,3/1/2013, , , ,Verified,35.0,ZIP2,NM,N,N,467,0,0.0,0.0,645.76,852,549,ABC989606,1,2
ABC989614, ,1/1/2013, , , ,Unverified,74.0,ZIP3,DI,N,N,539,0,0.0,0.0,604.0,156,201,ABC989614,1,0
ABC989614, ,2/1/2013, , , ,Unverified,74.0,ZIP3,DI,N,N,539,0,0.0,0.0,604.0,156,201,ABC989614,1,0
ABC989614, ,3/1/2013, , , ,Unverified,74.0,ZIP3,DI,N,N,539,0,0.0,0.0,604.0,156,201,ABC989614,1,0
